"id","english_name","french_name","critical","departments","groups"
48,"Occurrence Reporting System (ORS)","Système de rapport d'événement (SRE)","TRUE","Canada Border Services Agency (CBSA)",
49,"Passenger Information System (PAXIS)","Système d'information sur les voyageurs (SIPAX)","TRUE","Canada Border Services Agency (CBSA)",
50,"Secondary Processing and Passage History (SPPH)","Traitement secondaire et historique des passages (TSHP)","TRUE","Canada Border Services Agency (CBSA)",
51,"Secure Remote Access (SRA)"," ()","TRUE","Canada Border Services Agency (CBSA)",
52,"TITAN (Air & Marine)(TITAN (Air & Marine))","TITAN (aérien et maritime)(TITAN (aérien et maritime))","TRUE","Canada Border Services Agency (CBSA)",
53,"housing servers and primary linking Encryptor ()"," ()","TRUE","Canada Border Services Agency (CBSA)",
54,"Address Changes Online (ACO)","Changements d'adresse en ligne (CAL)","TRUE","Canada Revenue Agency (CRA)",
55,"Agent Information (AGENT)","Info sur les agents (AGENT)","TRUE","Canada Revenue Agency (CRA)",
56,"AMS for Internet Access (AMSNET)","SGA pour accès Internet (SGANET)","TRUE","Canada Revenue Agency (CRA)",
57,"Authentication Credential Enquiry (ACE)","Système des demandes d'authentification et justificatifs (DAJ)","TRUE","Canada Revenue Agency (CRA)",
58,"Authentication Managements Services (AMS)","Système de gestion de l'authentification (SGA)","TRUE","Canada Revenue Agency (CRA)",
59,"Automobile Benefits Online Calculator (ABOC)","Calculateur en direct d'avantages relatifs aux automobiles (CDRA)","TRUE","Canada Revenue Agency (CRA)",
60,"BENEFIT PROGRAMS (RAPI/D)","Programmes des prestations (RAPI/D)","TRUE","Canada Revenue Agency (CRA)",
61,"Benefit Programs Decision Support System (BPDSS)","Le Système d'aide à la décision de programmes de prestation (SADPP)","TRUE","Canada Revenue Agency (CRA)",
62,"Benefits Online Application (BOA)","Demande de prestation en direct (DPD)","TRUE","Canada Revenue Agency (CRA)",
63,"BlackBerry (BB)"," ()","TRUE","Canada Revenue Agency (CRA)",
64,"Business Client Communication System (BCCS)","Système de communication avec les entreprises (SCE)","TRUE","Canada Revenue Agency (CRA)",
65,"Business Client Communication System e-requests (BCCS/E-REQUESTS)","Système de communication avec les entreprises et demandes en ligne (SCE ET DEMANDES EN LIGNE)","TRUE","Canada Revenue Agency (CRA)",
66,"Business Menu (BUSMENU)","Business Menu (MENUAFF)","TRUE","Canada Revenue Agency (CRA)",
67,"Business Number (BN)","Numéro d'entreprise (NE)","TRUE","Canada Revenue Agency (CRA)",
68,"Business Number/Access (BN/ACCESS)","Numéro d'entreprise/Access (NE/ACCESS)","TRUE","Canada Revenue Agency (CRA)",
69,"Business Number/Batch (BN/BATCH)","Numéro d'entreprise/En Lot (NE/LOT)","TRUE","Canada Revenue Agency (CRA)",
70,"Business Number/MQ Partner (BN/MQPARTNER)","Numéro d'entreprise/Partenaire MQ (NE/PARTENAIRE MQ)","TRUE","Canada Revenue Agency (CRA)",
71,"Business Number/WS Partner (BN/WSPARTNER)","Numéro d'entreprise/Partenaire WS (NE/PARTENAIRE WS)","TRUE","Canada Revenue Agency (CRA)",
72,"Business Rules Administration (BUSRULES)","Administration des Règles des Affaires (REGLAFF)","TRUE","Canada Revenue Agency (CRA)",
73,"Canada Child Tax Benefit (CCTB)","Prestation fiscale canadienne pour enfants (PFCE)","TRUE","Canada Revenue Agency (CRA)",
74,"CASE AUDIT (CASE/AUDIT)","VERIFCATION/CAS (VERIFICATION/CAS)","TRUE","Canada Revenue Agency (CRA)",
75,"CASE CORTAX (CASE/CORTAX)","CAS COTISATION T2 (CAS COTISATION T2)","TRUE","Canada Revenue Agency (CRA)",
76,"CASE CPPEI (CASE/CPPEI)","CAS REGIME DES PENSIONS DU CANADA / ASSURANCE - EMPLOI (CAS RPC/AE)","TRUE","Canada Revenue Agency (CRA)",
77,"CASE Other Levies (CASE/OL)","CAS Autres Prélèvements (CAS AP)","TRUE","Canada Revenue Agency (CRA)",
78,"CASE Standardized Accounting - GUI (CASE/GUI/SA)","CAS comptabilité normalisée - GUI (CAS GUI/CN)","TRUE","Canada Revenue Agency (CRA)",
79,"CASE Standardized Accounting System (CASE/SA)","CAS Comptabilité Normalisée (CAS CN)","TRUE","Canada Revenue Agency (CRA)",
80,"CASE T1 & Benefits (CASE/T1BENEFITS)","CAS T1 et Prestation (CAS/T1PRES)","TRUE","Canada Revenue Agency (CRA)",
81,"Change My Address (CMA)","Changer mon adresse (CMA)","TRUE","Canada Revenue Agency (CRA)",
82,"Charities Internet Display System (CIDS)","Système d'affichage Internet pour les organismes de bienfaisance (SAIOB)","TRUE","Canada Revenue Agency (CRA)",
83,"Child Credit Management System (CCM)","Système de gestion des crédits pour enfants (GCE)","TRUE","Canada Revenue Agency (CRA)",
84,"Child Special Allowance (CSA)","Allocations spéciales pour enfants (ASE)","TRUE","Canada Revenue Agency (CRA)",
85,"Child Special Allowance Web (CSA/WEB)","Allocation Spéciale pour Enfants Web (ASE WEB)","TRUE","Canada Revenue Agency (CRA)",
86,"Child Tax Benefit Collections (CTB/COLLECT)","Perception de la prestation fiscale pour enfants (PFE/Perception)","TRUE","Canada Revenue Agency (CRA)",
87,"Child Tax Benefit Rundates (CTB/RUNDATE)","Prestation fiscale pour enfant / Rundate (PFE/Rundate)","TRUE","Canada Revenue Agency (CRA)",
88,"Common Operator Information File (COIF)","Registre commun des opérateurs (RCOP)","TRUE","Canada Revenue Agency (CRA)",
89,"Contract Management System (CMS)","Pouvoirs des signatures (PS)","TRUE","Canada Revenue Agency (CRA)",
90,"Corporate Transfer Management System (CTMS)","Système corporatif de gestion des transferts (SGTC)","TRUE","Canada Revenue Agency (CRA)",
91,"Corporation Tax Processing System (CORTAX)","Système de traitement des déclarations de revenus des sociétés (CORTAX)","TRUE","Canada Revenue Agency (CRA)",
92,"CPPEI Rulings (CPPEI)","DECISIONS DU RPC/AE (RPC/AE)","TRUE","Canada Revenue Agency (CRA)",
93,"CRA Website (cra-arc.gc.ca)(CRA Website)"," ()","TRUE","Canada Revenue Agency (CRA)",
94,"Credit Determination - Other Credit Systems (ICD/OTHERCR)","Détermination de crédit pour individus /autres systèmes de crédits (DCI/autreCR)","TRUE","Canada Revenue Agency (CRA)",
95,"EBCI IVR Interface Module (CJIM)","GTCe RVI Gestionnaire d'interface (CJIM)","TRUE","Canada Revenue Agency (CRA)",
96,"Efile On-Line (EOL)","Transmission électronique des données (TED)en direct (TED)","TRUE","Canada Revenue Agency (CRA)",
97,"Efile On-Line Plus (EOL+)","Transmission électronique des données (TED)en direct plus (TED+)","TRUE","Canada Revenue Agency (CRA)",
98,"Electronic Letter Creation System (ELCS)","Système de composition électronique de lettres (SCEL)","TRUE","Canada Revenue Agency (CRA)",
99,"Email Services (Centralized Exchange)(Email Services (Centralized Exchange))","Services de courriel (serveur Exchange contralisé)(Services de courriel (serveur Exchange contralisé))","TRUE","Canada Revenue Agency (CRA)",
100,"Employer Sponsored Plans (ESP)","Régimes offerts par l'employeur (ROE)","TRUE","Canada Revenue Agency (CRA)",
101,"Enterprise Transactions Outputs LITE (BCCS-LITE)(ETO/LITE)","Système de communication avec les entreprises - Léger (SCE-L)","TRUE","Canada Revenue Agency (CRA)",
102,"Financial Input Processing (FIP)","Traitement des données financières (TDF)","TRUE","Canada Revenue Agency (CRA)",
103,"GOL - My Business Account - Register a Formal Dispute (MBEO/GOL)","Mon dossier d'entreprise - Enregistrer un avis de différend officiel (MBEO/GOL)","TRUE","Canada Revenue Agency (CRA)",
104,"Goods and Services Tax Credit (GSTC)","Crédit pour la taxe sur les produits et services (CTPS)","TRUE","Canada Revenue Agency (CRA)",
105,"GST Audit (GST AUDIT)","Système de la vérification TPS (TPS Vérification)","TRUE","Canada Revenue Agency (CRA)",
106,"GST Internet Filing (GST NETFILE)","Impôtnet TPS (Impôtnet TPS)","TRUE","Canada Revenue Agency (CRA)",
107,"GST NETFILE (GST)","IMP?TNET TPS (TPS)","TRUE","Canada Revenue Agency (CRA)",
108,"GST/HST Return and Adjustment Processing System (GHRAPS)","Système de traitement des déclarations de TPS/TVH et des redressements (STDRSH)","TRUE","Canada Revenue Agency (CRA)",
109,"GST/HST Returns Document Capture (GHR/DC)","Saisie des documents de declaration de la TPS/TVH (RTCAP)","TRUE","Canada Revenue Agency (CRA)",
110,"HOME BUYERS PLAN (RAPI/HH)","Le Régime d?accession à la propriété (RAPI/HH)","TRUE","Canada Revenue Agency (CRA)",
111,"INCOME & DEDUCTIONS (RAPI/C)","REVENUS ET DÉDUCTIONS (RAPI/C)","TRUE","Canada Revenue Agency (CRA)",
112,"Individual Credit Determination / Verse Management System (ICD/VMS)","Détermination de crédit pour individus /Système de gestion des versets (DCI/SGV)","TRUE","Canada Revenue Agency (CRA)",
113,"Individual Credit Determination Validation and Controls (VERITAS)","Validation et mesures de réglementation pour la détermination de crédit pour individu (VERITAS)","TRUE","Canada Revenue Agency (CRA)",
114,"Individual Enquiries / Computer Telephony Integration (IE/CTI)","Demandes de renseignements des particuliers couplage de la téléphonie et de l'informatique (DRPCTI)","TRUE","Canada Revenue Agency (CRA)",
115,"Individual Enquiries News (IE NEWS)","Nouvelles pour les demandes de renseignements des particuliers (DRP Nouvelles)","TRUE","Canada Revenue Agency (CRA)",
116,"Individual Enquiries Print (IE PRINT)","Impression des demandes de renseignements des particuliers (IDDRP)","TRUE","Canada Revenue Agency (CRA)",
117,"Individual Enquiries Workbench & Printouts (IEW)","Atelier des demandes de Renseignements des Particuliers et imprimés (ADRPI)","TRUE","Canada Revenue Agency (CRA)",
118,"Individual Tax Declaration Data Capture (ITD/DC)","Déclarations de revenus des particuliers - Saisie des données (DRP/SD)","TRUE","Canada Revenue Agency (CRA)",
119,"INFODEC File Transfer (INFODEC/FTRN)","Transfert de fichiers par Internet (INFODEC/FTRN)","TRUE","Canada Revenue Agency (CRA)",
120,"INFODEC Web Access Code (INFODEC/WACUPD)","Maintenance de fichiers Internet CAW (INFODEC/WACUPD)","TRUE","Canada Revenue Agency (CRA)",
121,"Information Exchange Facility (IEF)","Fonction d?échange d?information (FEI)","TRUE","Canada Revenue Agency (CRA)",
122,"INSTALMENT NOTICES (RAPI/BB)","SRAP/Option BB du RAPID (RAPI/BB)","TRUE","Canada Revenue Agency (CRA)",
123,"Internet Access ()"," ()","TRUE","Canada Revenue Agency (CRA)",
124,"LIFELONG LEARNING PLANS (RAPI/CC)","Régime d?encouragement à l?éducation permanente (RAPI/CC)","TRUE","Canada Revenue Agency (CRA)",
125,"My Account (My Account)","Mon dossier (Mon dossier)","TRUE","Canada Revenue Agency (CRA)",
126,"My Account - BUSINESS (MYACCOUNT/BUS)","Mon dossier - ENTREPRISE (MON DOSSIER/ENT)","TRUE","Canada Revenue Agency (CRA)",
127,"My Business - INDIVIDUAL (MYACCOUNT/IND)","Mon dossier - PARTICULIER (MON DOSSIER/PART)","TRUE","Canada Revenue Agency (CRA)",
128,"My Business Account (My Business Account)","Mon dossier d'entreprise (Mon dossier d'entreprise)","TRUE","Canada Revenue Agency (CRA)",
129,"My Business Account - Request a CPP/EI Ruling (CPPEI/GOL)","Mon dossier d'entreprise - Demmande de decisions du RPC/AE (MonDE - RPC/AE)","TRUE","Canada Revenue Agency (CRA)",
130,"National Child Benefit - Integrated Voice Recognition (NCB/IVR)","Prestations nationales pour enfants | Réponse vocale interactive (RVI/PNE)","TRUE","Canada Revenue Agency (CRA)",
131,"National Child Benefit System Web (NCB/ONTHENET)","Supplément de la prestation nationale pour enfants dans Internet (SPNE dans Internet)","TRUE","Canada Revenue Agency (CRA)",
132,"National Information Exchange Registry (NIER)","Registre national des échanges de renseignements (RNER)","TRUE","Canada Revenue Agency (CRA)",
133,"NETFILE (NETFILE)","IMP?TNET (IMP?TNET)","TRUE","Canada Revenue Agency (CRA)",
134,"Non-Resident Source Deductions (NRSD)","Retenues à la source des non-résidents (RSNR)","TRUE","Canada Revenue Agency (CRA)",
135,"Notepad Facility (NOTEPAD)","Bloc-Notes (Bloc-Notes)","TRUE","Canada Revenue Agency (CRA)",
136,"Nova Scotia Worker's Compensation Board (NSWCB)","Commission des accidents du travail de la Nouvelle-écosse (CATNE)","TRUE","Canada Revenue Agency (CRA)",
137,"OOBand Activation Letter (OOB_LETTERS)","Code de Sécurité (OOB_LETTERS)","TRUE","Canada Revenue Agency (CRA)",
138,"Operator Information Facility (OPER)","Fichier Infomation Operateur (OPER)","TRUE","Canada Revenue Agency (CRA)",
139,"Other Levies System (OLS)","Système visant les autres prélèvements (SVAP)","TRUE","Canada Revenue Agency (CRA)",
140,"PAYDAC  telereply system (PD/TELEREPLY)","Système TéléAvis de PAYDAC (PD/TéléAvis)","TRUE","Canada Revenue Agency (CRA)",
141,"Payroll Deductions Accounting and Collections System (PAYDAC)","Système de retenues sur la paie, de comptabilisation et de recouvrements (PAYDAC)","TRUE","Canada Revenue Agency (CRA)",
142,"Payroll Deductions Online Calculator (PDOC)","Calculateur en direct de retenues sur la paie (CDRP)","TRUE","Canada Revenue Agency (CRA)",
143,"Pension Reform - Telephone Information System (PR/TIPS/RRSP)","Les droits de cotisation à un REER (RP/SERT/REEP)","TRUE","Canada Revenue Agency (CRA)",
144,"PENSION REFORM ENQ. (RAPI/R)","INFO REFORME DE PENSION (RAPI/R)","TRUE","Canada Revenue Agency (CRA)",
145,"Performance Analysis System (PAS)","Système d'analyse et de rendement (SAR)","TRUE","Canada Revenue Agency (CRA)",
146,"Program Account Information System (PAIS)","Système d?information sur les comptes de programme (SICP)","TRUE","Canada Revenue Agency (CRA)",
147,"RAPID Menu (RAPID)","Menu RAPID (RAPID)","TRUE","Canada Revenue Agency (CRA)",
148,"Rebates Data Capture (REBATES/DC)","capture de données des remises (CD/REMISES)","TRUE","Canada Revenue Agency (CRA)",
149,"Representatives Online (REPS ONLINE)","Representer un client (RUC)","TRUE","Canada Revenue Agency (CRA)",
150,"RH BRIDGE APPLICATION (BATCH)(RHBRIDGE)","PONT APPLICATION RH (PONTRH)","TRUE","Canada Revenue Agency (CRA)",
151,"SA Online Stats (SA/OS)","CN Statistiques en ligne (CN/SEL)","TRUE","Canada Revenue Agency (CRA)",
152,"Secure Remote Access (SRA)","Accès à distance sécurisé (ADS)","TRUE","Canada Revenue Agency (CRA)",
153,"Secure Remote Access (SRA)","Accès à distance sécurisé (ADS)","TRUE","Canada Revenue Agency (CRA)",
154,"Spousal Account Maintenance (SAM)","Rapprochement des comptes du conjoint (RCC)","TRUE","Canada Revenue Agency (CRA)",
155,"Standardized Accounting (SA)","Comptabilité normalisée (CN)","TRUE","Canada Revenue Agency (CRA)",
156,"T1 Assessing Error Detection (ED)","Détection des erreurs T1 (DE)","TRUE","Canada Revenue Agency (CRA)",
157,"T1 Data Mart (T1 DM)","Dépôt de données T1 (DD T1)","TRUE","Canada Revenue Agency (CRA)",
158,"T1 Efile Online (T1/EOL)","TED en Direct (T1/TED)","TRUE","Canada Revenue Agency (CRA)",
159,"T1 Efile Online Plus (T1/EOLPLUS)","TED en direct plus (T1/TED PLUS)","TRUE","Canada Revenue Agency (CRA)",
160,"T1 Internet Filing (T1/NETFILE)","Production des déclarations T1 par Internet (T1/IMP?TNET)","TRUE","Canada Revenue Agency (CRA)",
161,"T1 NETFILE (T1)","IMP?TNET T1 (T1)","TRUE","Canada Revenue Agency (CRA)",
162,"T1 Notices (T1/NOTICE)","Les avis T1 (T1/AVIS)","TRUE","Canada Revenue Agency (CRA)",
163,"T1 Online Error Correction (T1/EC)","Correction des erreurs des T1 en direct (CE T1)","TRUE","Canada Revenue Agency (CRA)",
164,"T2(Corpnet)NETFILE (T2(Corpnet))","IMP?TNET T2 (T2)","TRUE","Canada Revenue Agency (CRA)",
165,"Taxpayer Services Agent Desktop - Business (TSAD/B)","Aire de travail pour les agents des services aux contribuables - guichet des affaires (ATASC-GA)","TRUE","Canada Revenue Agency (CRA)",
166,"Taxpayer Services Agent Desktop - Individual (TSAD/I)","Aire de travail pour les agents des services à la clientèle (ATASC)","TRUE","Canada Revenue Agency (CRA)",
167,"Telerefund (TELEREFUND)","Téléremboursement (Téléremboursement)","TRUE","Canada Revenue Agency (CRA)",
168,"View Correspondence (VIEW_CORRESP)","Voir la correspondance (VC)","TRUE","Canada Revenue Agency (CRA)",
169,"Work Management Software (WMS)","Logiciel de gestion du travail (LGT)","TRUE","Canada Revenue Agency (CRA)",
170,"Working Income Tax Benefit (WITB)","Prestation fiscale pour le revenu de travail (PFRT)","TRUE","Canada Revenue Agency (CRA)",
171,"Email (Email)","Courriel (Courriel)","TRUE","Canada School of Public Service (CSPS)",
172,"Integrated Learning Management System (IMLS)","Système harmonisé de gestion de l'apprentissage (SHGA)","TRUE","Canada School of Public Service (CSPS)",
173,"AIRS Verification System (component of NISC)(AVS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
174,"Automated Import Reference System (component of NISC)(AIRS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
175,"Automated Import System (component of NISC)(AIS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
176,"Automated Shipment Inspection Status Search Tool (comp of NISC)(ASISST)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
177,"BlackBerry (BB)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
178,"Canadian Emergency Management Response System (CEMRS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
179,"Citrix Remote Access ()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
180,"Client Management System (CMS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
181,"Contact Centre Stakeholders programs information ()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
182,"Digital Documents Store (component of NISC)(DDS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
183,"E-Certification ()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
184,"Electronic Data Interchange (component of NISC)(EDI)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
185,"Email (Email)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
186,"Food Recall ()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
187,"IDVS Skyline (component of NISC)()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
188,"Import Control Tracking System (ICTS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
189,"Import Permit System (component of NISC)(IPS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
190,"Inspection.GC.CA website ()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
191,"Issues Management System (IMS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
192,"Laboratory Sample Tracking System (LSTS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
193,"Listserve (component of Food Recall)()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
194,"Merlin website ()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
195,"MQ (component of NISC)()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
196,"Multi-Commodity Activity Program (MCAP)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
197,"NCR Voice Telecom ()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
198,"Records Manegement Information Management System (eDOCS)aka AgriDOCS (AgriDOCS)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
199,"RightFax Server (component of NISC)()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
200,"SSLVPN ()"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
201,"Virtual Private Network (VPN)"," ()","TRUE","Canadian Food Inspection Agency (CFIA)",
202,"LOUIS ()"," ()","TRUE","Canadian Nuclear Safety Commission (CNSC)",
203,"RIB/BIR ()"," ()","TRUE","Canadian Nuclear Safety Commission (CNSC)",
204,"SSTS ()"," ()","TRUE","Canadian Nuclear Safety Commission (CNSC)",
205,"WebCast ()"," ()","TRUE","Canadian Nuclear Safety Commission (CNSC)",
206,"BlackBerry ()"," ()","TRUE","Canadian Space Agency (CSA)",
207,"CSA Website ()"," ()","TRUE","Canadian Space Agency (CSA)",
208,"David Florida Laboratory ()"," ()","TRUE","Canadian Space Agency (CSA)",
209,"Email ()"," ()","TRUE","Canadian Space Agency (CSA)",
210,"IFMS - SAP ()"," ()","TRUE","Canadian Space Agency (CSA)",
211,"Livelink Content Server (GCDOCS)()"," ()","TRUE","Canadian Space Agency (CSA)",
212,"Mission Operations Centre ()"," ()","TRUE","Canadian Space Agency (CSA)",
213,"Satellite Operations ()"," ()","TRUE","Canadian Space Agency (CSA)",
214,"TIPS (HR System)()"," ()","TRUE","Canadian Space Agency (CSA)",
215,"Access to Information and Privacy ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
216,"BlackBerry (BB)"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
217,"Call Centre - Interactive Voice Response System ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
218,"Case Processing Centre ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
219,"CIC Web site (www.cic.gc.ca)()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
220,"Citrix - OGDTHIN or CICTHIN ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
221,"Client Status Query ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
222,"Data Warehouse ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
223,"Email (Email)"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
224,"Field Operation Support System (FOSS)"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
225,"Global Case Processing System ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
226,"Handling Public Money ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
227,"Immigration Medical System ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
228,"Internet Access ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
229,"Kit Management System ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
230,"Litigation Information System ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
231,"National Case Management System ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
232,"Peoplesoft ()"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
233,"Records, Documents and Information Management Systems (RDIMS)"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
234,"Secure Remote Access (SRA)"," ()","TRUE","Citizenship and Immigration Canada (CIC)",
